Field,Extracted Value
Calories,Not found
Total Fat,Not found
Saturated Fat,Not found
Trans Fat,Not found
Cholesterol,Not found
Sodium,Not found
Total Carbohydrate,Not found
Dietary Fiber,Not found
Sugars,Not found
Protein,Not found
Vitamin A,Not found
Vitamin C,Not found
Calcium,Not found
Iron,Not found
Potassium,Not found
Magnesium,Not found
Zinc,Not found
Folate,Not found
Vitamin D,Not found
Vitamin E,Not found
Omega-3,Not found
Omega-6,Not found
Polyunsaturated Fat,Not found
Monounsaturated Fat,Not found
INS 220 (Sulfur Dioxide),Not found
INS 330 (Citric Acid),Not found
INS 621 (MSG),Not found
INS 211 (Sodium Benzoate),Not found
INS 202 (Potassium Sorbate),Not found
INS 401 (Sodium Alginate),Not found
INS 407 (Carrageenan),Not found
INS 415 (Xanthan Gum),Not found
INS 1442 (Modified Starch),Not found
INS 471 (Mono and Diglycerides),Not found
Sodium Nitrate,Not found
Sodium Nitrite,Not found
Calcium Propionate,Not found
Benzoic Acid,Not found
Ascorbic Acid,Not found
Tocopherol,Not found
Sorbic Acid,Not found
Propyl Gallate,Not found
BHT,Not found
BHA,Not found
MSG,Not found
Disodium Inosinate,Not found
Disodium Guanylate,Not found
Hydrolyzed Protein,Not found
Artificial Flavors,Not found
Natural Flavors,Not found
High Fructose Corn Syrup,Not found
Aspartame,Not found
Saccharin,Not found
Sucralose,Not found
Stevia,Not found
Peanuts,Not found
Tree Nuts,Not found
Milk,Not found
Eggs,Not found
Wheat,Not found
Soy,Not found
Fish,Not found
Shellfish,Not found
